site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
QLDC001480,151.903139,-25.625833,4446.50052609,3887.4342834,559.06624269,21.5,0.22,1.8,11589.9907609529,6.15383567,1368.10513,0.3
NSW003209,151.905234,-29.39938,3388.2564267,2059.207379,1329.0490477,15.8,0.21,1.51,9061.55314261759,5.00830888,1408.34422,0.3
Qld1755,151.90817,-24.29279,4302.5897459,3005.8727535,1296.7169924,22,0.3,0.62,6474.87593142369,4.73504438,1413.35492,0.3
NSW003631,151.909598,-29.837419,4037.9694568,3020.0730538,1017.896403,13.3,0.28,1.44,8676.39418438982,5.04908249,1340.03223,0.3
GA_bot641,151.923,-24.504,3858.43433401,3264.8858675,593.54846651,21.8,0.28,1.05,6401.67001016921,4.95714193,1391.95797,0.3
DECCW1005,151.925564,-31.608346,5302.3790649,3831.3235872,1471.0554777,15.3,0.31,1.44,9153.52323497954,5.13017761,1386.88651,0.3
NSW003621,151.926727,-29.641347,3099.15725249,2263.4623856,835.69486689,14.8,0.28,1.7,9100.79658592108,4.97700941,1404.29606,0.3
QLDC000278,151.928022,-28.064206,3867.7422547,3287.1936913,580.5485634,19.9,0.23,1.97,6410.20793701005,6.83189728,1234.66733,0.3
NSW003047,151.936956,-30.137901,2936.4008559,1896.548031,1039.8528249,13,0.36,1.39,9490.64079374219,4.91435742,1409.39498,0.3
NSW003179,151.937789,-30.138702,3061.2246246,1893.908801,1167.3158236,13,0.36,1.39,9255.56580327997,4.8033755,1449.08645,0.3
NSW000910,151.973734,-29.679729,3899.0874534,2765.0123772,1134.0750762,13.3,0.28,1.36,9215.07237623499,4.76589554,1426.84526,0.3
NSW003615,151.975279,-29.644519,3265.9094978,2217.7363114,1048.1731864,13.3,0.28,1.56,9439.98904877919,4.97407705,1360.55733,0.3
NSW003056,151.987597,-30.232517,3038.8685287,1972.4631738,1066.4053549,13,0.36,1.83,9083.58543183155,4.84435561,1445.42287,0.3
DECCW1009,151.989073,-31.668173,5565.7501392,4109.051983,1456.6981562,15.7,0.31,1.25,9155.81318223544,4.99878358,1341.42796,0.3
NSW000995,151.992176,-29.602415,3527.6983898,2212.4012122,1315.2971776,14.8,0.28,1.58,9082.48648029531,4.91003289,1429.86004,0.3
NSW001010,151.994034,-29.676275,3434.97677983,2685.7025388,749.27424103,13.3,0.28,1.57,9319.39737032455,5.02743144,1442.92039,0.3
NSW003185,151.994941,-30.23279,3361.9511315,2135.6950683,1226.2560632,13,0.36,1.79,9111.92628229513,4.90470165,1474.92757,0.3
NSW000898,151.995631,-29.602892,3491.2339146,2398.0558881,1093.1780265,14.8,0.28,1.55,9053.42329810762,4.84437103,1423.96401,0.3
NSW003197,152.011178,-30.175217,3914.9746923,2377.2094571,1537.7652352,13,0.36,1.35,8612.52528615972,4.80351883,1420.2404,0.3
QLDC000296,152.02453,-27.850543,4607.43061673,4067.5573262,539.87329053,19.9,0.23,1.68,6411.87596640105,6.84855987,1171.97186,0.3
NSW000949,152.027123,-29.657048,3927.9317754,2649.434601,1278.4971744,13.3,0.28,1.7,9261.71870943281,4.77212061,1451.87309,0.3
NSW001046,152.028742,-29.655255,4390.9565964,3056.8059014,1334.150695,13.3,0.28,1.59,9350.98013910428,4.78017764,1421.13944,0.3
NSW003092,152.03699,-29.010507,3313.6693882,2194.7421296,1118.9272586,16.6,0.21,1.97,8902.57852643842,5.15002471,1475.84974,0.3
NSW003618,152.041813,-29.643149,3525.2370519,2190.152387,1335.0846649,14.8,0.42,1.22,8646.71312581339,5.01405166,1393.72207,0.3
NSW003215,152.04248,-29.020871,3594.4041102,2308.503337,1285.9007732,15.5,0.41,1.52,9073.9748379378,5.02119819,1459.47982,0.3
NSW003730,152.04647,-28.558556,3119.86956874,2230.4356996,889.43386914,16.9,0.31,1.45,9035.94820784397,4.99358241,1387.8978,0.3
NSW001028,152.048047,-29.626146,3724.4536439,2702.9850387,1021.4686052,14.8,0.42,1.57,9130.60154796946,4.79540735,1425.6036,0.3
NSW003733,152.051708,-29.231827,3370.17174417,2553.9204176,816.25132657,15.3,0.42,1.43,9077.7963704929,5.02473059,1446.80604,0.3
DECCW1001,152.054549,-31.706575,5182.8386829,3605.3315822,1577.5071007,17.4,0.3,1.23,9144.26173057921,4.95335004,1426.18629,0.3
NSW003218,152.056554,-30.46278,3489.81151639,2688.2511779,801.56033849,13.1,0.33,1.79,9045.32517549983,4.95129421,1457.77983,0.3
DECCW0173,152.056625,-31.706861,6048.9619021,3887.3312381,2161.630664,17.4,0.3,1.28,9166.4483408888,5.0783846,1363.22846,0.3
NSW003098,152.065993,-30.44186,3926.581381,2666.1855191,1260.3958619,13.1,0.33,1.65,9028.8099765216,5.00302373,1409.52358,0.3
NSW003221,152.070585,-30.440846,3232.93542997,2312.1909872,920.74444277,13.1,0.33,1.66,8867.89419447081,5.03319046,1398.511,0.3
NSW003101,152.07785,-30.440157,3172.6158403,1863.432826,1309.1830143,13.1,0.33,1.77,8419.2610545041,4.74940979,1440.75008,0.3
QLDC000260,152.078177,-27.841423,4597.32965961,3860.6883247,736.64133491,19.5,0.29,1.57,6388.15561399451,6.37003291,1276.75201,0.3
DECCW1533,152.091347,-29.065326,3802.8660301,2698.6130853,1104.2529448,15.5,0.41,1.78,9098.20360225317,4.9025025,1485.34171,0.3
DECCW1537,152.096397,-29.064602,3720.4728597,2491.6056394,1228.8672203,15.5,0.41,1.69,9136.09574378286,4.94808437,1480.49318,0.3
NSW003110,152.099804,-28.558441,2342.74285296,1638.022194,704.72065896,16.9,0.31,1.28,7550.63792357964,4.85733973,1462.04897,0.3
NSW003603,152.101798,-30.514415,3290.02155515,2470.8309321,819.19062305,13.1,0.33,1.64,8450.85806771421,4.92599616,1483.92233,0.3
NSW003233,152.104408,-28.558075,2686.9084023,1633.8814452,1053.0269571,16.9,0.31,1.14,8265.75305680984,4.88835352,1467.38345,0.3
NSW003320,152.106851,-30.468963,3492.2970393,2126.4193306,1365.8777087,13.1,0.33,1.23,8555.69206088382,4.90845462,1423.48709,0.3
NSW003350,152.107291,-30.47096,3318.20492417,2341.1842343,977.02068987,13.1,0.33,1.23,8659.12912651715,4.89570523,1412.65751,0.3
