site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
GA_bot741,139.745,-17.837,1824.22542493,1645.2873447,178.93808023,28.5,0.3,0.85,5804.48968807359,5.60177107,1478.84794,0.3,39
GA1070,139.76694,-18.69791,1987.88611907,1730.3040748,257.58204427,29.9,0.22,0.96,5286.74787863461,5.58170276,1496.35075,0.3,39
GA954,139.9,-18.22501,2131.53689376,1850.5325259,281.00436786,29.6,0.29,0.6,6047.38013736517,6.22443433,1490.41534,0.3,39
GA_bot38,139.95999,-19.24087,1449.01713525,1262.8979515,186.11918375,29.5,0.25,0.89,5984.68520500294,5.68846799,1517.51433,0.3,39
GA1036,140.15521,-19.89435,1997.12293883,1709.6602839,287.46265493,30,0.18,0.68,5540.42848440757,5.43900106,1523.24186,0.3,39
GA798,140.18099,-17.94704,2273.90276729,1976.4991344,297.40363289,28.9,0.3,0.85,6123.7035865868,5.85512639,1481.39175,0.3,39
GA1066,140.56383,-18.01848,2161.18672818,1948.4827891,212.70393908,29.8,0.23,0.85,6238.06802083248,5.92045409,1472.68819,0.3,39
GA1096,140.58948,-20.4803,2010.42085087,1705.0740936,305.34675727,29.6,0.27,0.72,6622.93422378764,5.82627941,1475.08552,0.3,39
GA_bot71,140.58955,-20.48081,1984.055088,1698.2671461,285.7879419,29.6,0.27,0.72,6622.93422378764,5.82627941,1475.08552,0.3,39
GA_bot246,140.71901,-18.56138,3183.17207244,2265.357258,917.81481444,30.4,0.25,0.7,6247.98233030641,6.57686089,1419.62125,0.3,39
GA_bot262,140.85613,-19.54261,1351.17352667,1217.6009442,133.57258247,30.1,0.25,0.79,6229.60235038286,6.65101637,1452.02457,0.3,39
GA1022,140.87271,-18.43669,2306.59860802,2103.4526231,203.14598492,30.4,0.28,0.59,6340.30360404566,6.45775601,1454.85429,0.3,39
GA904,141.01411,-19.55704,1605.23033619,1465.4917773,139.73855889,30.1,0.25,0.56,6299.55029301207,6.8124379,1446.70582,0.3,39
GA1081,141.13145,-20.08643,1730.66827532,1573.2016639,157.46661142,30,0.2,0.69,6317.35692190389,6.80415056,1424.10844,0.3,39
GA_bot60,141.13429,-17.85681,1984.94089335,1716.3673399,268.57355345,29.4,0.2,0.39,7026.78956451867,5.39402329,1513.22826,0.3,39
GA_bot242,141.1531,-17.69423,1715.07044374,1576.9601572,138.11028654,29.2,0.27,0.81,6637.24936681047,5.33007498,1502.8586,0.3,39
GA983,141.15856,-20.3085,1660.89367754,1491.527249,169.36642854,30.2,0.26,0.56,6347.33548791421,6.92479764,1434.54994,0.3,39
GA907,141.15863,-20.30819,1730.32264173,1554.1917033,176.13093843,30.2,0.26,0.56,6338.90776131518,6.96646617,1437.90462,0.3,39
GA_bot581,141.168,-18.139,1468.41941534,1286.6417083,181.77770704,29.9,0.2,0.56,5675.89197377123,5.3893607,1531.45705,0.3,39
GA_bot457,141.189,-17.463,1762.99078454,1638.3808159,124.60996864,29.7,0.29,0.55,7050.98607235609,5.36875909,1506.45759,0.3,39
GA837,141.19845,-18.25493,1615.06301915,1437.0596533,178.00336585,30.3,0.29,0.51,6210.48747654793,5.65116829,1524.57866,0.3,39
GA_bot215,141.30574,-18.61415,1860.94781998,1678.1295141,182.81830588,30.9,0.18,0.53,6720.89830564851,5.74815283,1505.2307,0.3,39
